fecha,plu,nombre_producto,precio_dia,precio_regular,disponible
8-1-2022,532288.0,variedad surtidas terrabusi paq 390 grm,289.99,289.99,
8-1-2022,165125.0,chocolate arcor chocolate cja 25 grm,84.49,84.49,
8-1-2022,505430.0,miel organica premi yunga andin fra 470 grm,849.0,849.0,
8-1-2022,530603.0,cafe instantaneo suave y espumoso arlistan fra 170 grm,880.4,880.4,
8-1-2022,527723.0,bicarbonato de sodio alicante sob 50 grm,67.09,67.09,
8-1-2022,514833.0,vino blanco . toro ttb 1 ltr,286.0,286.0,
8-1-2022,512691.0,cerveza bot dorada origina brahma bot 710 cmq,327.24,327.24,
8-1-2022,508911.0,leche protein la serenisina botella larga vida 1l,228.8,228.8,
8-1-2022,35090.0,choclo especial x kg   xkg,389.0,509.0,
8-2-2022,267331.0,sopapa de goma x-limp negra con cabo 1 uni,302.99,302.99,
8-2-2022,490196.0,woolite jabon liquido para ropa todos los dias en maquina  repuesto 1.5l,776.99,776.99,
8-2-2022,473538.0,suavizante concentrado vivere intense abrazo apretado 1 l,606.99,606.99,
8-2-2022,508152.0,avena instantanea quaker 660 grm,534.99,534.99,
8-2-2022,525859.0,cafe instantaneo suave la virginia fra 170 grm,681.85,681.85,
8-2-2022,524204.0,toallitas desinfectantes ayudin fresco 24 un,254.99,254.99,
8-2-2022,495843.0,limpia inodoros desinfectante lysoform gel active power lavanda 500ml,377.99,377.99,
8-2-2022,134863.0,gomitas tiburoncitos frutti gelatin bol 30 grm,63.49,63.49,
8-2-2022,265972.0,crema hinds hidratacion esencial piel normal bot 250ml,339.99,339.99,
8-2-2022,508209.0,lavandina ayudin triple poder lavanda 4 l,274.29,274.29,
8-2-2022,509681.0,chocolate con leche c/ma georgalos fwp 35 grm,116.99,116.99,
8-2-2022,141418.0,albahaca la parmesana sob 20 grm,91.64,91.64,
8-2-2022,513679.0,agua sin gas . ser bot 2.25 ltr,96.8,96.8,
8-2-2022,457065.0,pure de tomate coto con oregano tetrabrik 520 gr,97.52,97.52,
8-2-2022,525866.0,comino molido alicante sob 25 grm,108.85,108.85,
8-2-2022,102153.0,gaseosa coca-cola sabor original  3 lt,402.06,402.06,
8-2-2022,696.0,aji picante -   xkg,599.0,599.0,
8-2-2022,258362.0,tap.empanada criolla x20 mendia bsa 520 grm,222.0,222.0,
8-2-2022,531672.0,gall.dulces anillos terrabusi paq 300 grm,217.99,217.99,
8-2-2022,532633.0,mayonesa danica pou 500 ml,200.81,200.81,
8-2-2022,288062.0,arroz koshihikari dos hermanos sushi rice paquete 500 gr,224.0,224.0,
8-2-2022,297748.0,procenex limpiador de vidrios repuesto 420ml,89.79,89.79,
8-2-2022,489973.0,jabon suavidad natural estrella baby 75 grm,141.99,141.99,
8-2-2022,495534.0,manteca multivitaminas la serenisima 200gr,381.6,381.6,
8-2-2022,256598.0,milanesas soja lucchetti x 290 grm,187.7,187.7,
8-2-2022,511751.0,queso blanco light tregar pot 290 grm,298.25,298.25,
8-2-2022,268583.0,bolsas de residuos task 50 x 70 cm 20 u. multiuso,474.99,474.99,
8-2-2022,525134.0,cacao granulado chocolino paq 800 grm,689.25,689.25,
8-2-2022,503555.0,cera depilatoria vegetal millefiori lat 200 grm,600.99,600.99,
8-2-2022,113665.0,galletitas mana livianas dulces vainilla x3 uni paq 393 grm,177.49,177.49,
8-2-2022,26582.0,tapa p/pascualina . coto bol 400 grm,169.0,169.0,
8-2-2022,42989.0,pollo congelado x kg,299.9,299.9,
8-2-2022,522598.0,toallitas desinfectantes ayudin fresco flowpack 36 un,362.99,362.99,
8-2-2022,259752.0,cafe instantaneo torrado seleccion arlistan fra 50 grm,298.55,298.55,
8-2-2022,528816.0,acondicionador hidratacion aguacate y argan algabo doy 300 ml,146.99,146.99,
8-2-2022,513988.0,harina 0000 ultra refinada pureza paq 1 kgm,156.94,156.94,
8-2-2022,281920.0,limpiador ecovita baño doy 500 ml,146.99,146.99,
8-2-2022,268428.0,pan blanco fargo rodajas finas bsa 560 grm,283.49,283.49,
8-2-2022,288253.0,miel de abejas nectar de dioses fra 250 grm,499.0,499.0,
8-2-2022,528605.0,queso crema light la serenisima pot 290 grm,224.1,333.9,
8-2-2022,695.0,papa blanca .   xkg,149.0,149.0,
8-2-2022,502914.0,garbanzo . terrasana bsa 500 grm,529.9,529.9,
8-2-2022,196409.0,"agua saborizada aquarius pera 1,5 lt",187.3,187.3,
8-2-2022,532578.0,maquinas de afeitar desechables gillette prestobarba2 ultragrip plus 5 un,782.99,782.99,
8-2-2022,499474.0,yerba mate 4 flex taragui 1 kg,747.19,747.19,
8-2-2022,82451.0,cerveza  santa fe   botella 1 l,210.83,210.83,
8-2-2022,294646.0,filtros papel nº4 melitta caja 30 unidades,488.45,488.45,
8-2-2022,503117.0,bolsas de polietileno trash 45 x 60 cm 30 u. multiuso,375.99,375.99,
8-2-2022,262123.0,crema corporal st. ives avena y karite 350 ml,439.99,439.99,
8-2-2022,484971.0,aceite rocio vegetal  cañuelas girasol aerosol 187 ml,282.9,282.9,
8-2-2022,519965.0,lavavajillas multiuso naran magistral bot 750 ml,454.99,454.99,
8-2-2022,50543.0,mayonesa natura pouch 950 gr,319.0,319.0,
8-2-2022,59478.0,vinagre vino coto pet 1 ltr,173.54,173.54,
8-2-2022,531972.0,limpiador liquido desinfeccion de baño lysoform 500 cmq,394.99,394.99,
8-2-2022,479161.0,fid.semolin c/hvo nido n°2 308 paq 500 grm,218.0,218.0,
8-2-2022,123801.0,atun al natural gomes da costa lomo lata 170 gr,268.54,268.54,
8-2-2022,208051.0,pure de tomate alco   tetrabrik 520 gr,101.26,101.26,
8-2-2022,515930.0,garbanzos morixe paq 400 grm,158.0,158.0,
8-2-2022,216569.0,gomitas ositos mogul paq 30 grm,60.99,60.99,
8-2-2022,461486.0,tirabuzon lucchetti       paquete 500 gr,156.35,156.35,
8-2-2022,527826.0,yogur bebible entero vainilla lechelita sch 900 grm,199.0,199.0,
8-2-2022,47985.0,roast beef estancias coto x kg,849.9,849.9,
8-2-2022,48535.0,pata con piel x uni (450 gr) refrigerados,224.96,224.96,
8-2-2022,63594.0,ciruela x kg,299.0,299.0,
8-2-2022,497586.0,avena tradicional morixe paq 300 grm,164.42,164.42,
8-2-2022,51816.0,"gaseosa mirinda naranja bot 1,5 ltr",91.09,91.09,
8-2-2022,507349.0,galletitas pepitos 357g,352.99,352.99,
8-2-2022,495379.0,pan blanco . bimbo bsa 550 grm,450.99,450.99,
8-2-2022,182503.0,gall.rellena . rumba paq 336 grm,264.99,264.99,
8-2-2022,267340.0,agua de mesa nestle bidon 6.3 l,351.88,351.88,
8-2-2022,72044.0,batata americana   xkg 1 kgm,209.0,209.0,
8-2-2022,526576.0,crema corporal mas hidratacion villeneuve bot 250 ml,310.99,310.99,
8-2-2022,475169.0,porotos manteca coto bolsa 500 gr,332.45,332.45,
8-2-2022,240558.0,te frutilla la virginia est .04 kgm,135.4,135.4,
8-2-2022,265515.0,mostachol lucchetti     paquete 500 gr,129.15,129.15,
8-2-2022,532069.0,galletitas crackers clasicas media tarde pack familiar x3 unidades paq 315 grm,196.49,196.49,
8-2-2022,526401.0,cappuccino dulce de leche la virginia pou 155 grm,373.65,373.65,
8-2-2022,508206.0,avena tradicional quaker 760 grm,515.99,515.99,
8-2-2022,32342.0,huevo blanco grand maple x 30 uni 30 uni,796.0,796.0,
8-2-2022,128664.0,crema de calendula bushi bushi cja 50 grm,753.99,753.99,
8-2-2022,265973.0,"crema hinds cuerpo hidratante piel normal vit, alo bot 350m",416.13,416.13,
8-2-2022,461492.0,"gaseosa schweppes sin azucar pomelo 2,25 lt",253.42,253.42,
8-2-2022,503686.0,pasta dental colgate herbal 140g,231.99,231.99,
8-2-2022,295882.0,papel higienico campanita soft plus xl simple hoja paquete 4 unidades,423.99,423.99,
8-2-2022,11645.0,chorizo fco bombon fridevi . 1 kgm,899.9,899.9,
8-2-2022,504139.0,queso casancrem entero 200 gr,208.85,208.85,
8-2-2022,477548.0,agua mineral natural de manantial alvura 2.25 l,100.0,100.0,
8-2-2022,48445.0,alitas x uni (455 gr),95.59,95.59,
8-2-2022,532286.0,variedad regular 170gr,128.99,128.99,
8-2-2022,299169.0,harina de trigo chacabuco leudante paquete 1 kg,146.84,146.84,
8-2-2022,481466.0,manteca tonadita baja en lactosa 200 gr,240.75,240.75,
8-2-2022,503772.0,limpiador liquido cif baño biodegradable 500 ml gatillo,246.99,246.99,
8-2-2022,24586.0,mermelada ciruela emeth frasco 454 gr,292.3,292.3,
8-2-2022,266778.0,salsa ranch dos anclas pet 420 gr,458.79,458.79,
8-2-2022,180420.0,limpiador de baño lysoform liquido gatillo 500ml,280.99,280.99,
8-2-2022,512354.0,granola berries go natural paq 250 grm,399.99,399.99,
8-2-2022,488013.0,yerba mate manzanilla cruz de mal paq 500 grm,240.9,240.9,
8-2-2022,226475.0,pinza para depilar tao decorada paq 1 uni,191.99,191.99,
8-2-2022,180129.0,crema depil. piel sensible veet est 100 ml,863.99,863.99,
8-2-2022,506257.0,edulcorante con stevia chuker bot 200 ml,362.37,362.37,
8-2-2022,7197.0,vinagre alcohol menoyo pet 1 ltr,128.87,128.87,
8-2-2022,515414.0,milanesas soja x4 lucchetti paq 560 grm,565.0,565.0,
8-2-2022,242806.0,aderezo ligth cocinero clasico bajo en sodio bot 500 ml,182.04,182.04,
8-2-2022,520351.0,mermelada ciruela arcor fra 454 grm,140.84,140.84,
8-2-2022,231492.0,salsa de aji picante dos anclas pet 375 gr,413.59,413.59,
8-2-2022,191237.0,oregano la parmesana   sobre 50 gr,119.12,119.12,
8-2-2022,500096.0,shampoo suave lacio antifrizz 930 ml,263.99,263.99,
8-2-2022,166470.0,medallones burger swift   4 uni x 69 gr,293.0,293.0,
8-2-2022,264345.0,procenex limpiador liquido para pisos marina 5l,786.99,786.99,
8-2-2022,527.0,manzana.g.smith .   xkg,349.0,349.0,
8-2-2022,510294.0,cepillo dental infantil suste 2life paq 1 uni,69.25,69.25,
8-2-2022,299665.0,jabon en barra baby dove humectacion enriquecida 75 g,139.99,139.99,
8-2-2022,61007.0,limon comercia   xkg,79.0,159.0,
8-2-2022,522399.0,leche en polvo nutrifuerza la lechera 400 grm,555.99,555.99,
8-2-2022,500587.0,mermelada durazno esnaola fra 454 grm,281.09,281.09,
8-2-2022,36411.0,huevo color maple x 30 uni 30 uni,940.0,940.0,
8-2-2022,264081.0,gall.avena chip de chocol cachafaz paq 225 grm,294.99,294.99,
8-2-2022,224342.0,cepillo dental colgate triple accion medio 2unid,201.44,201.44,
8-2-2022,525161.0,condimento para pizza alicante sob 25 grm,96.95,96.95,
8-2-2022,480051.0,harina trigo 000 morixe paq 1 kgm,82.41,82.41,
8-2-2022,180413.0,gaseosa cunnington    botella 2.25 l,159.64,159.64,
8-2-2022,525143.0,condimento p/tucos y guisos alicante sob 25 grm,95.5,95.5,
8-2-2022,263765.0,penne rigate matarazzo     paquete 500 gr,160.33,160.33,
8-2-2022,511706.0,endulzante sweet forte hileret bot 400 ml,484.75,484.75,
8-2-2022,121625.0,cepillo dental colgate extra clean medio 1unid,115.67,115.67,
8-2-2022,509747.0,leche parcialmente descremada liviana  la serenisima larga vida 1l,204.95,204.95,
8-2-2022,169714.0,pure de tomate salsati tetrabrik 520 gr,84.52,84.52,
8-2-2022,262125.0,crema corporal st. ives humectacion diaria 350 ml,478.99,478.99,
8-2-2022,496.0,kiwi seleccion   x kg,699.0,699.0,
8-2-2022,512399.0,shampo niños sensacion natu plusbelle bot 700 ml,622.99,622.99,
8-2-2022,498134.0,te chai la virginia cja 40 grm,146.95,146.95,
8-2-2022,688.0,zapallo anco x kg,89.9,89.9,
8-2-2022,498602.0,la serenisima 100% vegetal almendra 1l,414.0,414.0,
8-2-2022,78644.0,lentejon la egipciana seleccion superior bol 400 grm,272.35,272.35,
8-2-2022,189595.0,gaseosa coca-cola sin azucar 2 lt,134.55,134.55,
8-2-2022,467755.0,gaseosa pepsi light black botella 1.5 l,158.13,158.13,
8-2-2022,248893.0,mermelada emeth maracuya fra 454 grm,357.45,357.45,
8-2-2022,531289.0,galletitas dulces anillos vainilla 9 de oro paq 380 grm,164.8,164.8,
8-2-2022,488014.0,cacao en polvo nesquik x 150gr,121.65,121.65,
8-2-2022,272254.0,canasta liquida para inodoro glade i love you aparato + repuesto 50ml,412.99,412.99,
8-2-2022,24171.0,tap.empanada horno ciudad del lago bsa 300 grm,135.0,135.0,
8-2-2022,510571.0,desodorante de ambiente poett espiritu play 360 ml,248.99,248.99,
8-2-2022,602.0,cebolla a granel x kg,279.0,279.0,
8-2-2022,475555.0,mermelada arandanos el brocal    frasco 420 gr,789.85,789.85,
8-2-2022,532607.0,mayonesa danica pou 250 ml,107.07,107.07,
8-2-2022,184765.0,gomitas frut/gel frutigelati bsa 30 grm,60.99,60.99,
8-2-2022,60947.0,papa negra selec   xkg,99.9,99.9,
8-2-2022,140301.0,chocolate shot con mani paq 35 grm,112.99,112.99,
8-2-2022,525145.0,aji triturado alicante sob 25 grm,80.09,80.09,
8-2-2022,508180.0,desodorante de ambiente poett flores de primavera 360 ml,248.99,248.99,
8-2-2022,521346.0,galletitas galletitas express clasicas 101gr,79.0,79.0,
8-2-2022,264657.0,arroz largo fino gallo versatil paquete 1 kg,144.0,144.0,
8-2-2022,22865.0,huevo blanco grand . cja 12 uni,372.0,372.0,
8-2-2022,521694.0,yogur bebible parcialmente descremado frutilla tregar sch 1 kgm,237.8,237.8,
8-2-2022,511722.0,endulzante clasico forte hileret bot 500 ml,421.5,421.5,
8-2-2022,104249.0,gall.rellena . opera paq 92 grm,65.44,65.44,
8-2-2022,515794.0,aceite oliva extra virgen s cocinero bot 500 ml,896.26,896.26,
8-2-2022,493979.0,oregano . valle de uc sob 25 grm,89.9,89.9,
8-2-2022,70360.0,dulce de batata arcor cja 500 grm,365.0,365.0,
8-2-2022,128956.0,jardinera inca 350 gr,143.9,143.9,
8-2-2022,78646.0,maiz pisingallo la egipciana bol 400 gr,153.35,153.35,
8-2-2022,502558.0,banda depilat. axilas/area bi veet cja 16 uni,882.99,882.99,
8-2-2022,48071.0,cer.skarchit . granix bsa 240 grm,205.99,205.99,
8-2-2022,4139.0,dulce de batata esnaola cja 500 grm,279.0,279.0,
8-2-2022,513603.0,acondicionador dove ritual de reparacion coco y curcuma 750 ml,820.99,820.99,
8-2-2022,494233.0,lentejas la campagnola 300 gr,100.76,100.76,
8-2-2022,514409.0,shampoo para niños johnsons hidratacion intensa x 200 ml.,421.99,421.99,
8-2-2022,218834.0,azucar superior real ledesma paq 1 kgm,182.7,182.7,
8-2-2022,511514.0,leche multidefensas 0% la serenisima sachet 1l,176.05,176.05,
8-2-2022,517979.0,acondicionador oil repair 3 recarga nutritiva garnier fructis bot 650 ml,880.99,880.99,
8-2-2022,518044.0,leche entera 3% tenor graso lechelita sch 1 ltr,121.7,121.7,
8-2-2022,484016.0,yerba mate hierbas serran chamigo paq 500 grm,222.9,222.9,
8-2-2022,510646.0,shampoo detox c/bio pr plusbelle bot 1000 ml,326.99,326.99,
8-2-2022,510049.0,pure de fruta manzana zummy pou 90 grm,110.85,110.85,
8-2-2022,521854.0,pasta dental anti-caries oral b 150 g,261.99,261.99,
8-2-2022,251644.0,tap.empanada hojaldre mendia fwp 520 grm,213.0,213.0,
8-2-2022,2233.0,vino tinto . resero ttb 1 ltr,222.0,222.0,
8-2-2022,282843.0,pepas don satur bsa 300 grm,172.99,172.99,
8-2-2022,244549.0,mostaza natura pouch 250 gr,119.9,119.9,
8-2-2022,47988.0,bife con lomo estancias coto x kg,929.9,1219.9,
8-2-2022,475171.0,semola coto bolsa 400 gr,177.45,177.45,
8-2-2022,258821.0,milanesa soja tipo casero x granja del paq 660 grm,683.0,683.0,
8-2-2022,527730.0,lavandina ayudin clasica 4l,487.99,487.99,
8-2-2022,12334.0,huevo color grande el ombu cja 12 uni,474.0,474.0,
8-2-2022,230068.0,servilletas sussex ultramax 30x30 paquete 150 unidades,138.99,138.99,
8-2-2022,532064.0,leche entera larga vida alimenta ttb 1 ltr,85.15,85.15,
8-2-2022,531504.0,papel higienico higienol max hoja simple panal paq 4 unid x 80 mts c/u,594.99,594.99,
8-2-2022,47987.0,bife angosto estancias coto x kg,859.9,1119.9,
8-2-2022,511456.0,lavandina ayudin clasica 2 l,247.29,247.29,
8-2-2022,208310.0,salsa de soja dos anclas   botella 500 ml,572.89,572.89,
8-2-2022,508839.0,arroz largo fino lucchetti estuche x1 kg,194.0,194.0,
8-2-2022,489264.0,sal entrefina para parrilla celusal paq 500 grm,88.87,88.87,
8-2-2022,510053.0,ketchup hellmann's regular 250 g doypack,181.23,181.23,
8-2-2022,494235.0,garbanzos la campagnola 300 gr,114.93,114.93,
8-2-2022,262409.0,agua saborizada cellier naranja botella 1.5 l,86.81,86.81,
8-2-2022,470274.0,tapa p/pascualina sin tacc la salteña fwp 380 grm,406.5,406.5,
8-2-2022,251435.0,harina de trigo blancaflor  0000 paquete 1 kg,160.3,160.3,
8-2-2022,98672.0,mermelada durazno emeth pote 420 gr,179.95,179.95,
8-2-2022,22963.0,provenzal la parmesana paquete 25 gr,65.99,65.99,
8-2-2022,17625.0,zapallo japones   xkg,109.0,109.0,
8-2-2022,525574.0,acondicionador bomba de nutricion sedal bot 650 ml,453.21,453.21,
8-2-2022,501505.0,mermelada light frutilla esnaola fra 390 grm,366.49,366.49,
8-2-2022,514836.0,cerveza cautiva rubia salta ret bot 1 l,366.8,366.8,
8-2-2022,532960.0,aceto balsamico reduccion enrico baronese bot 375 cmq,280.0,280.0,
8-2-2022,224749.0,rollo de cocina campanita 180 paños paquete 3 unidades,358.99,358.99,
8-2-2022,503554.0,cera depilatoria perlas vegetal millefiori fwp 100 grm,257.99,257.99,
8-2-2022,598.0,brocoli x kg,299.0,359.0,
8-2-2022,526405.0,cappuccino espuma de vainilla la virginia pou 155 grm,373.65,373.65,
8-2-2022,212429.0,queso crema la paulina tradicional 290 gr,206.14,206.14,
8-2-2022,513718.0,hamburguesa carne vacuna x swift cja 276 grm,276.0,276.0,
8-2-2022,243270.0,acondicionador para niños suave frutilla glamorosa 350 ml,291.64,291.64,
8-2-2022,512942.0,"limpiador desinfectante ayudin marina botella 1,8 l",384.99,384.99,
8-2-2022,255212.0,avena tradicio coto paq 400 grm,223.49,223.49,
8-2-2022,518042.0,bebida vegetal granola la serenisima 1 ltr,414.0,414.0,
8-2-2022,493165.0,silk almendra con chocolate 946 ml,299.2,299.2,
8-2-2022,267868.0,toallitas humedas para bebe johnsons hora del sueño x 96 un.,574.99,574.99,
8-2-2022,281871.0,poroto  ciudad del lago de soja lata 350 gr,66.99,66.99,
8-2-2022,491193.0,condimento p/chimichurri la campagnola doy 25 grm,79.95,79.95,
8-2-2022,465286.0,salsa chimichurri vanoli picante pet 350 gr,151.88,151.88,
8-2-2022,525158.0,salsa 4 quesos alicante sob 37 grm,181.59,181.59,
8-2-2022,511777.0,te negro clasico x25 so green hills cja 50 grm,139.99,139.99,
8-2-2022,248461.0,mostaza natura pouch 500 gr,147.99,147.99,
8-2-2022,262973.0,bizcochos dulces gallo snack bsa 50 grm,110.99,110.99,
8-2-2022,487965.0,limpiador de baño lysoform liquido repuesto 450ml,139.99,139.99,
8-2-2022,512414.0,shampo niños ph balanceado plusbelle bot 700 ml,622.99,622.99,
8-2-2022,128955.0,arveja seca/rem inca lat 350 gr,85.49,85.49,
8-2-2022,522551.0,servilletas familiares x 1 sussex paq 140 uni,374.99,374.99,
8-2-2022,112646.0,alfajor bon o bon  40 gr x 1 uni,97.49,97.49,
8-2-2022,508922.0,leche clasica mas liviana la serenisima botella larga vida 1l,162.85,162.85,
8-2-2022,508186.0,sal regeneradora glow bot 1 kgm,775.99,775.99,
8-2-2022,261936.0,aceite oliva extra virgen natura intenso lata 500 ml,803.2,803.2,
8-2-2022,259753.0,cafe instantaneo arlistan frasco 170 gr,416.09,416.09,
8-2-2022,511747.0,queso blanco clasico tregar pot 290 grm,298.25,298.25,
8-2-2022,505792.0,cafe instantaneo tradicion nescafe pou 150 grm,436.38,436.38,
8-2-2022,266510.0,shampoo plusbelle hidratacion botella 1000 ml,148.08,148.08,
8-2-2022,48458.0,pata muslo con piel x uni (1.4 kg) refrigerados,707.64,707.64,
8-2-2022,523175.0,"agua de mesa benedictino con gas 1,5 lt",75.1,75.1,
8-2-2022,16203.0,"gaseosa sprite lima-limon 1,5 lt",146.1,146.1,
8-2-2022,8786.0,aceto balsamico don marcell bot 500 cmq,355.21,355.21,
8-2-2022,614.0,choclo amarillo   xkg,279.0,449.0,
8-2-2022,11296.0,te . rosamonte cja 50 uni,179.9,179.9,
8-2-2022,243504.0,coffee-mate liviano x 170gr,445.39,445.39,
8-2-2022,170564.0,lentejas lonquimay bolsa 400 gr,243.39,243.39,
8-2-2022,119984.0,azucar hileret light paquete 250 gr,156.75,156.75,
8-2-2022,502007.0,yerba mate suave playadito 500 gr,346.04,346.04,
8-2-2022,530597.0,fideos rigatti al huevo don vicente paq 500 grm,252.89,252.89,
8-2-2022,530650.0,pan de mesa blanco lactal bsa 500 grm,315.99,315.99,
8-2-2022,525129.0,lasagna matarazzo paq 400 grm,345.14,345.14,
8-2-2022,266008.0,limpiador de pisos pino luz aroma pino 1800 ml,275.94,275.94,
8-2-2022,501823.0,limpiador en crema cif limon multiuso 250 ml,107.99,107.99,
8-2-2022,268585.0,bolsas de residuos task 45 x 60 cm 20 u. pequeña multiuso,326.99,326.99,
8-2-2022,487182.0,desinfectante amanecer de mo odex aer 360 ml,232.99,232.99,
8-2-2022,267413.0,limpiador liquido multisuperficies glade campos de lavanda botella 1.8l,283.99,283.99,
8-2-2022,526589.0,crema corporal hiratacion profunda villeneuve bot 400 ml,408.99,408.99,
8-2-2022,258818.0,milanesa soja t.casero granja del paq 330 grm,237.7,237.7,
8-2-2022,169716.0,pulpa de tomate salsati tetrabrik 520 gr,111.14,111.14,
8-2-2022,468412.0,limp.pisos lavanda ecovita bot 900 cmq,80.99,80.99,
8-2-2022,506256.0,edulcorante clasico chuker bot 400 ml,402.28,402.28,
8-2-2022,526417.0,anis en granos alicante sob 25 grm,95.0,95.0,
8-2-2022,533404.0,premezcla hummus instantaneo natural pop paq 100 grm,182.49,182.49,
8-2-2022,48480.0,supremas sin piel x uni (960 gr) refrigerados,912.96,912.96,
8-2-2022,500108.0,shampoo suave manzanilla rubios 930 ml,263.99,263.99,
8-2-2022,529.0,manzana red .   xkg,339.0,339.0,
8-2-2022,169044.0,sh. p/bebe extra suave algabo bot 444 ml,199.99,199.99,
8-2-2022,528884.0,desodorante de ambiente harmony glade aer 360 cmq,256.99,256.99,
